"PHONESERVICE","MULTIPLELINES","INTERNETSERVICE","ONLINESECURITY","ONLINEBACKUP","DEVICEPROTECTION","TECHSUPPORT","STREAMINGTV","STREAMINGMOVIES","CHURN","USERS"
"Yes","Yes","DSL","No","Yes","Yes","No","No","No","","3"
"Yes","Yes","DSL","No","Yes","Yes","No","No","Yes","No","5"
"Yes","Yes","DSL","No","Yes","Yes","No","No","Yes","","5"
"Yes","Yes","DSL","No","Yes","Yes","No","No","","","8"
"Yes","Yes","DSL","No","Yes","Yes","No","Yes","No","No","5"
"Yes","Yes","DSL","No","Yes","Yes","No","Yes","No","","5"
"Yes","Yes","DSL","No","Yes","Yes","No","Yes","Yes","No","9"
"Yes","Yes","DSL","No","Yes","Yes","No","Yes","Yes","Yes","1"
"Yes","Yes","DSL","No","Yes","Yes","No","Yes","Yes","","10"
"Yes","Yes","DSL","No","Yes","Yes","No","Yes","","","15"
"Yes","Yes","DSL","No","Yes","Yes","No","","","","23"
"Yes","Yes","DSL","No","Yes","Yes","Yes","No","No","No","2"
"Yes","Yes","DSL","No","Yes","Yes","Yes","No","No","","2"
"Yes","Yes","DSL","No","Yes","Yes","Yes","No","Yes","No","4"
"Yes","Yes","DSL","No","Yes","Yes","Yes","No","Yes","Yes","1"
"Yes","Yes","DSL","No","Yes","Yes","Yes","No","Yes","","5"
"Yes","Yes","DSL","No","Yes","Yes","Yes","No","","","7"
"Yes","Yes","DSL","No","Yes","Yes","Yes","Yes","No","No","6"
"Yes","Yes","DSL","No","Yes","Yes","Yes","Yes","No","","6"
"Yes","Yes","DSL","No","Yes","Yes","Yes","Yes","Yes","No","20"
"Yes","Yes","DSL","No","Yes","Yes","Yes","Yes","Yes","","20"
"Yes","Yes","DSL","No","Yes","Yes","Yes","Yes","","","26"
"Yes","Yes","DSL","No","Yes","Yes","Yes","","","","33"
"Yes","Yes","DSL","No","Yes","Yes","","","","","56"
"Yes","Yes","DSL","No","Yes","","","","","","106"
"Yes","Yes","DSL","No","","","","","","","232"
"Yes","Yes","DSL","Yes","No","No","No","No","No","No","14"
"Yes","Yes","DSL","Yes","No","No","No","No","No","Yes","6"
"Yes","Yes","DSL","Yes","No","No","No","No","No","","20"
"Yes","Yes","DSL","Yes","No","No","No","No","Yes","No","6"
"Yes","Yes","DSL","Yes","No","No","No","No","Yes","","6"
"Yes","Yes","DSL","Yes","No","No","No","No","","","26"
"Yes","Yes","DSL","Yes","No","No","No","Yes","No","No","4"
"Yes","Yes","DSL","Yes","No","No","No","Yes","No","","4"
"Yes","Yes","DSL","Yes","No","No","No","Yes","Yes","No","5"
"Yes","Yes","DSL","Yes","No","No","No","Yes","Yes","","5"
"Yes","Yes","DSL","Yes","No","No","No","Yes","","","9"
"Yes","Yes","DSL","Yes","No","No","No","","","","35"
"Yes","Yes","DSL","Yes","No","No","Yes","No","No","No","10"
"Yes","Yes","DSL","Yes","No","No","Yes","No","No","Yes","1"
"Yes","Yes","DSL","Yes","No","No","Yes","No","No","","11"
"Yes","Yes","DSL","Yes","No","No","Yes","No","Yes","No","7"
"Yes","Yes","DSL","Yes","No","No","Yes","No","Yes","Yes","1"
"Yes","Yes","DSL","Yes","No","No","Yes","No","Yes","","8"
"Yes","Yes","DSL","Yes","No","No","Yes","No","","","19"
"Yes","Yes","DSL","Yes","No","No","Yes","Yes","No","No","4"
"Yes","Yes","DSL","Yes","No","No","Yes","Yes","No","","4"
"Yes","Yes","DSL","Yes","No","No","Yes","Yes","Yes","No","4"
"Yes","Yes","DSL","Yes","No","No","Yes","Yes","Yes","Yes","1"
"Yes","Yes","DSL","Yes","No","No","Yes","Yes","Yes","","5"
"Yes","Yes","DSL","Yes","No","No","Yes","Yes","","","9"
"Yes","Yes","DSL","Yes","No","No","Yes","","","","28"
"Yes","Yes","DSL","Yes","No","No","","","","","63"
"Yes","Yes","DSL","Yes","No","Yes","No","No","No","No","4"
"Yes","Yes","DSL","Yes","No","Yes","No","No","No","","4"
"Yes","Yes","DSL","Yes","No","Yes","No","No","Yes","No","2"
"Yes","Yes","DSL","Yes","No","Yes","No","No","Yes","","2"
"Yes","Yes","DSL","Yes","No","Yes","No","No","","","6"
"Yes","Yes","DSL","Yes","No","Yes","No","Yes","No","No","4"
"Yes","Yes","DSL","Yes","No","Yes","No","Yes","No","","4"
"Yes","Yes","DSL","Yes","No","Yes","No","Yes","Yes","No","5"
"Yes","Yes","DSL","Yes","No","Yes","No","Yes","Yes","Yes","1"
"Yes","Yes","DSL","Yes","No","Yes","No","Yes","Yes","","6"
"Yes","Yes","DSL","Yes","No","Yes","No","Yes","","","10"
"Yes","Yes","DSL","Yes","No","Yes","No","","","","16"
"Yes","Yes","DSL","Yes","No","Yes","Yes","No","No","No","6"
"Yes","Yes","DSL","Yes","No","Yes","Yes","No","No","Yes","3"
"Yes","Yes","DSL","Yes","No","Yes","Yes","No","No","","9"
"Yes","Yes","DSL","Yes","No","Yes","Yes","No","Yes","No","10"
"Yes","Yes","DSL","Yes","No","Yes","Yes","No","Yes","","10"
"Yes","Yes","DSL","Yes","No","Yes","Yes","No","","","19"
"Yes","Yes","DSL","Yes","No","Yes","Yes","Yes","No","No","6"
"Yes","Yes","DSL","Yes","No","Yes","Yes","Yes","No","Yes","1"
"Yes","Yes","DSL","Yes","No","Yes","Yes","Yes","No","","7"
"Yes","Yes","DSL","Yes","No","Yes","Yes","Yes","Yes","No","23"
"Yes","Yes","DSL","Yes","No","Yes","Yes","Yes","Yes","Yes","1"
"Yes","Yes","DSL","Yes","No","Yes","Yes","Yes","Yes","","24"
"Yes","Yes","DSL","Yes","No","Yes","Yes","Yes","","","31"
"Yes","Yes","DSL","Yes","No","Yes","Yes","","","","50"
"Yes","Yes","DSL","Yes","No","Yes","","","","","66"
"Yes","Yes","DSL","Yes","No","","","","","","129"
"Yes","Yes","DSL","Yes","Yes","No","No","No","No","No","11"
"Yes","Yes","DSL","Yes","Yes","No","No","No","No","Yes","2"
"Yes","Yes","DSL","Yes","Yes","No","No","No","No","","13"
"Yes","Yes","DSL","Yes","Yes","No","No","No","Yes","No","5"
"Yes","Yes","DSL","Yes","Yes","No","No","No","Yes","","5"
"Yes","Yes","DSL","Yes","Yes","No","No","No","","","18"
"Yes","Yes","DSL","Yes","Yes","No","No","Yes","No","No","6"
"Yes","Yes","DSL","Yes","Yes","No","No","Yes","No","","6"
"Yes","Yes","DSL","Yes","Yes","No","No","Yes","Yes","No","2"
"Yes","Yes","DSL","Yes","Yes","No","No","Yes","Yes","","2"
"Yes","Yes","DSL","Yes","Yes","No","No","Yes","","","8"
"Yes","Yes","DSL","Yes","Yes","No","No","","","","26"
"Yes","Yes","DSL","Yes","Yes","No","Yes","No","No","No","19"
"Yes","Yes","DSL","Yes","Yes","No","Yes","No","No","Yes","2"
"Yes","Yes","DSL","Yes","Yes","No","Yes","No","No","","21"
"Yes","Yes","DSL","Yes","Yes","No","Yes","No","Yes","No","4"
"Yes","Yes","DSL","Yes","Yes","No","Yes","No","Yes","","4"
"Yes","Yes","DSL","Yes","Yes","No","Yes","No","","","25"
"Yes","Yes","DSL","Yes","Yes","No","Yes","Yes","No","No","8"
"Yes","Yes","DSL","Yes","Yes","No","Yes","Yes","No","Yes","1"
"Yes","Yes","DSL","Yes","Yes","No","Yes","Yes","No","","9"
"Yes","Yes","DSL","Yes","Yes","No","Yes","Yes","Yes","No","8"
"Yes","Yes","DSL","Yes","Yes","No","Yes","Yes","Yes","","8"
"Yes","Yes","DSL","Yes","Yes","No","Yes","Yes","","","17"
"Yes","Yes","DSL","Yes","Yes","No","Yes","","","","42"
"Yes","Yes","DSL","Yes","Yes","No","","","","","68"
"Yes","Yes","DSL","Yes","Yes","Yes","No","No","No","No","10"
"Yes","Yes","DSL","Yes","Yes","Yes","No","No","No","","10"
"Yes","Yes","DSL","Yes","Yes","Yes","No","No","Yes","No","6"
"Yes","Yes","DSL","Yes","Yes","Yes","No","No","Yes","Yes","1"
"Yes","Yes","DSL","Yes","Yes","Yes","No","No","Yes","","7"
"Yes","Yes","DSL","Yes","Yes","Yes","No","No","","","17"
"Yes","Yes","DSL","Yes","Yes","Yes","No","Yes","No","No","4"
"Yes","Yes","DSL","Yes","Yes","Yes","No","Yes","No","","4"
"Yes","Yes","DSL","Yes","Yes","Yes","No","Yes","Yes","No","11"
"Yes","Yes","DSL","Yes","Yes","Yes","No","Yes","Yes","","11"
"Yes","Yes","DSL","Yes","Yes","Yes","No","Yes","","","15"
"Yes","Yes","DSL","Yes","Yes","Yes","No","","","","32"
"Yes","Yes","DSL","Yes","Yes","Yes","Yes","No","No","No","18"
"Yes","Yes","DSL","Yes","Yes","Yes","Yes","No","No","","18"
"Yes","Yes","DSL","Yes","Yes","Yes","Yes","No","Yes","No","22"
"Yes","Yes","DSL","Yes","Yes","Yes","Yes","No","Yes","","22"
"Yes","Yes","DSL","Yes","Yes","Yes","Yes","No","","","40"
"Yes","Yes","DSL","Yes","Yes","Yes","Yes","Yes","No","No","12"
"Yes","Yes","DSL","Yes","Yes","Yes","Yes","Yes","No","","12"
"Yes","Yes","DSL","Yes","Yes","Yes","Yes","Yes","Yes","No","75"
"Yes","Yes","DSL","Yes","Yes","Yes","Yes","Yes","Yes","Yes","1"
"Yes","Yes","DSL","Yes","Yes","Yes","Yes","Yes","Yes","","76"
"Yes","Yes","DSL","Yes","Yes","Yes","Yes","Yes","","","88"
"Yes","Yes","DSL","Yes","Yes","Yes","Yes","","","","128"
"Yes","Yes","DSL","Yes","Yes","Yes","","","","","160"
"Yes","Yes","DSL","Yes","Yes","","","","","","228"
"Yes","Yes","DSL","Yes","","","","","","","357"
"Yes","Yes","DSL","","","","","","","","589"
"Yes","Yes","Fiber optic","No","No","No","No","No","No","No","57"
"Yes","Yes","Fiber optic","No","No","No","No","No","No","Yes","83"
"Yes","Yes","Fiber optic","No","No","No","No","No","No","","140"
"Yes","Yes","Fiber optic","No","No","No","No","No","Yes","No","16"
"Yes","Yes","Fiber optic","No","No","No","No","No","Yes","Yes","49"
"Yes","Yes","Fiber optic","No","No","No","No","No","Yes","","65"
"Yes","Yes","Fiber optic","No","No","No","No","No","","","205"
"Yes","Yes","Fiber optic","No","No","No","No","Yes","No","No","23"
"Yes","Yes","Fiber optic","No","No","No","No","Yes","No","Yes","27"
"Yes","Yes","Fiber optic","No","No","No","No","Yes","No","","50"
"Yes","Yes","Fiber optic","No","No","No","No","Yes","Yes","No","34"
"Yes","Yes","Fiber optic","No","No","No","No","Yes","Yes","Yes","63"
"Yes","Yes","Fiber optic","No","No","No","No","Yes","Yes","","97"
"Yes","Yes","Fiber optic","No","No","No","No","Yes","","","147"
"Yes","Yes","Fiber optic","No","No","No","No","","","","352"
"Yes","Yes","Fiber optic","No","No","No","Yes","No","No","No","10"
"Yes","Yes","Fiber optic","No","No","No","Yes","No","No","Yes","6"
"Yes","Yes","Fiber optic","No","No","No","Yes","No","No","","16"
"Yes","Yes","Fiber optic","No","No","No","Yes","No","Yes","No","8"
"Yes","Yes","Fiber optic","No","No","No","Yes","No","Yes","Yes","2"
"Yes","Yes","Fiber optic","No","No","No","Yes","No","Yes","","10"
"Yes","Yes","Fiber optic","No","No","No","Yes","No","","","26"
"Yes","Yes","Fiber optic","No","No","No","Yes","Yes","No","No","2"
"Yes","Yes","Fiber optic","No","No","No","Yes","Yes","No","Yes","7"
"Yes","Yes","Fiber optic","No","No","No","Yes","Yes","No","","9"
"Yes","Yes","Fiber optic","No","No","No","Yes","Yes","Yes","No","17"
"Yes","Yes","Fiber optic","No","No","No","Yes","Yes","Yes","Yes","8"
"Yes","Yes","Fiber optic","No","No","No","Yes","Yes","Yes","","25"
"Yes","Yes","Fiber optic","No","No","No","Yes","Yes","","","34"
"Yes","Yes","Fiber optic","No","No","No","Yes","","","","60"
"Yes","Yes","Fiber optic","No","No","No","","","","","412"
"Yes","Yes","Fiber optic","No","No","Yes","No","No","No","No","13"
"Yes","Yes","Fiber optic","No","No","Yes","No","No","No","Yes","13"
"Yes","Yes","Fiber optic","No","No","Yes","No","No","No","","26"
"Yes","Yes","Fiber optic","No","No","Yes","No","No","Yes","No","14"
"Yes","Yes","Fiber optic","No","No","Yes","No","No","Yes","Yes","10"
"Yes","Yes","Fiber optic","No","No","Yes","No","No","Yes","","24"
"Yes","Yes","Fiber optic","No","No","Yes","No","No","","","50"
"Yes","Yes","Fiber optic","No","No","Yes","No","Yes","No","No","17"
"Yes","Yes","Fiber optic","No","No","Yes","No","Yes","No","Yes","10"
"Yes","Yes","Fiber optic","No","No","Yes","No","Yes","No","","27"
"Yes","Yes","Fiber optic","No","No","Yes","No","Yes","Yes","No","41"
"Yes","Yes","Fiber optic","No","No","Yes","No","Yes","Yes","Yes","46"
"Yes","Yes","Fiber optic","No","No","Yes","No","Yes","Yes","","87"
"Yes","Yes","Fiber optic","No","No","Yes","No","Yes","","","114"
"Yes","Yes","Fiber optic","No","No","Yes","No","","","","164"
"Yes","Yes","Fiber optic","No","No","Yes","Yes","No","No","No","6"
"Yes","Yes","Fiber optic","No","No","Yes","Yes","No","No","Yes","3"
"Yes","Yes","Fiber optic","No","No","Yes","Yes","No","No","","9"
"Yes","Yes","Fiber optic","No","No","Yes","Yes","No","Yes","No","5"
"Yes","Yes","Fiber optic","No","No","Yes","Yes","No","Yes","Yes","1"
"Yes","Yes","Fiber optic","No","No","Yes","Yes","No","Yes","","6"
"Yes","Yes","Fiber optic","No","No","Yes","Yes","No","","","15"
"Yes","Yes","Fiber optic","No","No","Yes","Yes","Yes","No","No","7"
"Yes","Yes","Fiber optic","No","No","Yes","Yes","Yes","No","","7"
"Yes","Yes","Fiber optic","No","No","Yes","Yes","Yes","Yes","No","26"
"Yes","Yes","Fiber optic","No","No","Yes","Yes","Yes","Yes","Yes","20"
"Yes","Yes","Fiber optic","No","No","Yes","Yes","Yes","Yes","","46"
"Yes","Yes","Fiber optic","No","No","Yes","Yes","Yes","","","53"
"Yes","Yes","Fiber optic","No","No","Yes","Yes","","","","68"
"Yes","Yes","Fiber optic","No","No","Yes","","","","","232"
"Yes","Yes","Fiber optic","No","No","","","","","","644"
"Yes","Yes","Fiber optic","No","Yes","No","No","No","No","No","27"
"Yes","Yes","Fiber optic","No","Yes","No","No","No","No","Yes","27"
"Yes","Yes","Fiber optic","No","Yes","No","No","No","No","","54"
"Yes","Yes","Fiber optic","No","Yes","No","No","No","Yes","No","13"
"Yes","Yes","Fiber optic","No","Yes","No","No","No","Yes","Yes","12"
"Yes","Yes","Fiber optic","No","Yes","No","No","No","Yes","","25"
"Yes","Yes","Fiber optic","No","Yes","No","No","No","","","79"
"Yes","Yes","Fiber optic","No","Yes","No","No","Yes","No","No","16"
"Yes","Yes","Fiber optic","No","Yes","No","No","Yes","No","Yes","15"
"Yes","Yes","Fiber optic","No","Yes","No","No","Yes","No","","31"
"Yes","Yes","Fiber optic","No","Yes","No","No","Yes","Yes","No","33"
"Yes","Yes","Fiber optic","No","Yes","No","No","Yes","Yes","Yes","31"
"Yes","Yes","Fiber optic","No","Yes","No","No","Yes","Yes","","64"
"Yes","Yes","Fiber optic","No","Yes","No","No","Yes","","","95"
"Yes","Yes","Fiber optic","No","Yes","No","No","","","","174"
"Yes","Yes","Fiber optic","No","Yes","No","Yes","No","No","No","4"
"Yes","Yes","Fiber optic","No","Yes","No","Yes","No","No","Yes","3"
"Yes","Yes","Fiber optic","No","Yes","No","Yes","No","No","","7"
"Yes","Yes","Fiber optic","No","Yes","No","Yes","No","Yes","No","7"
"Yes","Yes","Fiber optic","No","Yes","No","Yes","No","Yes","Yes","2"
"Yes","Yes","Fiber optic","No","Yes","No","Yes","No","Yes","","9"
"Yes","Yes","Fiber optic","No","Yes","No","Yes","No","","","16"
"Yes","Yes","Fiber optic","No","Yes","No","Yes","Yes","No","No","6"
"Yes","Yes","Fiber optic","No","Yes","No","Yes","Yes","No","Yes","3"
"Yes","Yes","Fiber optic","No","Yes","No","Yes","Yes","No","","9"
"Yes","Yes","Fiber optic","No","Yes","No","Yes","Yes","Yes","No","27"
"Yes","Yes","Fiber optic","No","Yes","No","Yes","Yes","Yes","Yes","4"
"Yes","Yes","Fiber optic","No","Yes","No","Yes","Yes","Yes","","31"
"Yes","Yes","Fiber optic","No","Yes","No","Yes","Yes","","","40"
"Yes","Yes","Fiber optic","No","Yes","No","Yes","","","","56"
"Yes","Yes","Fiber optic","No","Yes","No","","","","","230"
"Yes","Yes","Fiber optic","No","Yes","Yes","No","No","No","No","10"
"Yes","Yes","Fiber optic","No","Yes","Yes","No","No","No","Yes","10"
"Yes","Yes","Fiber optic","No","Yes","Yes","No","No","No","","20"
"Yes","Yes","Fiber optic","No","Yes","Yes","No","No","Yes","No","19"
"Yes","Yes","Fiber optic","No","Yes","Yes","No","No","Yes","Yes","8"
"Yes","Yes","Fiber optic","No","Yes","Yes","No","No","Yes","","27"
"Yes","Yes","Fiber optic","No","Yes","Yes","No","No","","","47"
"Yes","Yes","Fiber optic","No","Yes","Yes","No","Yes","No","No","14"
"Yes","Yes","Fiber optic","No","Yes","Yes","No","Yes","No","Yes","7"
"Yes","Yes","Fiber optic","No","Yes","Yes","No","Yes","No","","21"
"Yes","Yes","Fiber optic","No","Yes","Yes","No","Yes","Yes","No","61"
"Yes","Yes","Fiber optic","No","Yes","Yes","No","Yes","Yes","Yes","55"
"Yes","Yes","Fiber optic","No","Yes","Yes","No","Yes","Yes","","116"
"Yes","Yes","Fiber optic","No","Yes","Yes","No","Yes","","","137"
"Yes","Yes","Fiber optic","No","Yes","Yes","No","","","","184"
"Yes","Yes","Fiber optic","No","Yes","Yes","Yes","No","No","No","9"
"Yes","Yes","Fiber optic","No","Yes","Yes","Yes","No","No","Yes","2"
"Yes","Yes","Fiber optic","No","Yes","Yes","Yes","No","No","","11"
"Yes","Yes","Fiber optic","No","Yes","Yes","Yes","No","Yes","No","4"
"Yes","Yes","Fiber optic","No","Yes","Yes","Yes","No","Yes","Yes","1"
"Yes","Yes","Fiber optic","No","Yes","Yes","Yes","No","Yes","","5"
"Yes","Yes","Fiber optic","No","Yes","Yes","Yes","No","","","16"
"Yes","Yes","Fiber optic","No","Yes","Yes","Yes","Yes","No","No","4"
"Yes","Yes","Fiber optic","No","Yes","Yes","Yes","Yes","No","","4"
"Yes","Yes","Fiber optic","No","Yes","Yes","Yes","Yes","Yes","No","63"
"Yes","Yes","Fiber optic","No","Yes","Yes","Yes","Yes","Yes","Yes","18"
"Yes","Yes","Fiber optic","No","Yes","Yes","Yes","Yes","Yes","","81"
"Yes","Yes","Fiber optic","No","Yes","Yes","Yes","Yes","","","85"
"Yes","Yes","Fiber optic","No","Yes","Yes","Yes","","","","101"
"Yes","Yes","Fiber optic","No","Yes","Yes","","","","","285"
"Yes","Yes","Fiber optic","No","Yes","","","","","","515"
"Yes","Yes","Fiber optic","No","","","","","","","1159"
"Yes","Yes","Fiber optic","Yes","No","No","No","No","No","No","20"
"Yes","Yes","Fiber optic","Yes","No","No","No","No","No","Yes","7"
"Yes","Yes","Fiber optic","Yes","No","No","No","No","No","","27"
"Yes","Yes","Fiber optic","Yes","No","No","No","No","Yes","No","6"
"Yes","Yes","Fiber optic","Yes","No","No","No","No","Yes","Yes","1"
"Yes","Yes","Fiber optic","Yes","No","No","No","No","Yes","","7"
"Yes","Yes","Fiber optic","Yes","No","No","No","No","","","34"
"Yes","Yes","Fiber optic","Yes","No","No","No","Yes","No","No","8"
"Yes","Yes","Fiber optic","Yes","No","No","No","Yes","No","Yes","3"
"Yes","Yes","Fiber optic","Yes","No","No","No","Yes","No","","11"
"Yes","Yes","Fiber optic","Yes","No","No","No","Yes","Yes","No","16"
"Yes","Yes","Fiber optic","Yes","No","No","No","Yes","Yes","Yes","11"
"Yes","Yes","Fiber optic","Yes","No","No","No","Yes","Yes","","27"
"Yes","Yes","Fiber optic","Yes","No","No","No","Yes","","","38"
"Yes","Yes","Fiber optic","Yes","No","No","No","","","","72"
"Yes","Yes","Fiber optic","Yes","No","No","Yes","No","No","No","5"
"Yes","Yes","Fiber optic","Yes","No","No","Yes","No","No","","5"
"Yes","Yes","Fiber optic","Yes","No","No","Yes","No","Yes","No","3"
"Yes","Yes","Fiber optic","Yes","No","No","Yes","No","Yes","Yes","1"
"Yes","Yes","Fiber optic","Yes","No","No","Yes","No","Yes","","4"
"Yes","Yes","Fiber optic","Yes","No","No","Yes","No","","","9"
"Yes","Yes","Fiber optic","Yes","No","No","Yes","Yes","No","No","1"
"Yes","Yes","Fiber optic","Yes","No","No","Yes","Yes","No","Yes","1"
"Yes","Yes","Fiber optic","Yes","No","No","Yes","Yes","No","","2"
"Yes","Yes","Fiber optic","Yes","No","No","Yes","Yes","Yes","No","5"
"Yes","Yes","Fiber optic","Yes","No","No","Yes","Yes","Yes","Yes","2"
"Yes","Yes","Fiber optic","Yes","No","No","Yes","Yes","Yes","","7"
"Yes","Yes","Fiber optic","Yes","No","No","Yes","Yes","","","9"
"Yes","Yes","Fiber optic","Yes","No","No","Yes","","","","18"
"Yes","Yes","Fiber optic","Yes","No","No","","","","","90"
"Yes","Yes","Fiber optic","Yes","No","Yes","No","No","No","No","7"
"Yes","Yes","Fiber optic","Yes","No","Yes","No","No","No","Yes","3"
"Yes","Yes","Fiber optic","Yes","No","Yes","No","No","No","","10"
"Yes","Yes","Fiber optic","Yes","No","Yes","No","No","Yes","No","4"
"Yes","Yes","Fiber optic","Yes","No","Yes","No","No","Yes","","4"
"Yes","Yes","Fiber optic","Yes","No","Yes","No","No","","","14"
"Yes","Yes","Fiber optic","Yes","No","Yes","No","Yes","No","No","5"
"Yes","Yes","Fiber optic","Yes","No","Yes","No","Yes","No","Yes","2"
"Yes","Yes","Fiber optic","Yes","No","Yes","No","Yes","No","","7"
"Yes","Yes","Fiber optic","Yes","No","Yes","No","Yes","Yes","No","19"
"Yes","Yes","Fiber optic","Yes","No","Yes","No","Yes","Yes","Yes","12"
"Yes","Yes","Fiber optic","Yes","No","Yes","No","Yes","Yes","","31"
"Yes","Yes","Fiber optic","Yes","No","Yes","No","Yes","","","38"
"Yes","Yes","Fiber optic","Yes","No","Yes","No","","","","52"
"Yes","Yes","Fiber optic","Yes","No","Yes","Yes","No","No","No","2"
"Yes","Yes","Fiber optic","Yes","No","Yes","Yes","No","No","","2"
"Yes","Yes","Fiber optic","Yes","No","Yes","Yes","No","Yes","No","5"
"Yes","Yes","Fiber optic","Yes","No","Yes","Yes","No","Yes","Yes","1"
"Yes","Yes","Fiber optic","Yes","No","Yes","Yes","No","Yes","","6"
"Yes","Yes","Fiber optic","Yes","No","Yes","Yes","No","","","8"
"Yes","Yes","Fiber optic","Yes","No","Yes","Yes","Yes","No","No","2"
"Yes","Yes","Fiber optic","Yes","No","Yes","Yes","Yes","No","","2"
"Yes","Yes","Fiber optic","Yes","No","Yes","Yes","Yes","Yes","No","29"
"Yes","Yes","Fiber optic","Yes","No","Yes","Yes","Yes","Yes","Yes","5"
"Yes","Yes","Fiber optic","Yes","No","Yes","Yes","Yes","Yes","","34"
"Yes","Yes","Fiber optic","Yes","No","Yes","Yes","Yes","","","36"
"Yes","Yes","Fiber optic","Yes","No","Yes","Yes","","","","44"
"Yes","Yes","Fiber optic","Yes","No","Yes","","","","","96"
"Yes","Yes","Fiber optic","Yes","No","","","","","","186"
"Yes","Yes","Fiber optic","Yes","Yes","No","No","No","No","No","11"
"Yes","Yes","Fiber optic","Yes","Yes","No","No","No","No","Yes","1"
"Yes","Yes","Fiber optic","Yes","Yes","No","No","No","No","","12"
"Yes","Yes","Fiber optic","Yes","Yes","No","No","No","Yes","No","11"
"Yes","Yes","Fiber optic","Yes","Yes","No","No","No","Yes","Yes","7"
"Yes","Yes","Fiber optic","Yes","Yes","No","No","No","Yes","","18"
"Yes","Yes","Fiber optic","Yes","Yes","No","No","No","","","30"
"Yes","Yes","Fiber optic","Yes","Yes","No","No","Yes","No","No","13"
"Yes","Yes","Fiber optic","Yes","Yes","No","No","Yes","No","Yes","5"
"Yes","Yes","Fiber optic","Yes","Yes","No","No","Yes","No","","18"
"Yes","Yes","Fiber optic","Yes","Yes","No","No","Yes","Yes","No","11"
"Yes","Yes","Fiber optic","Yes","Yes","No","No","Yes","Yes","Yes","7"
"Yes","Yes","Fiber optic","Yes","Yes","No","No","Yes","Yes","","18"
"Yes","Yes","Fiber optic","Yes","Yes","No","No","Yes","","","36"
"Yes","Yes","Fiber optic","Yes","Yes","No","No","","","","66"
"Yes","Yes","Fiber optic","Yes","Yes","No","Yes","No","No","No","7"
"Yes","Yes","Fiber optic","Yes","Yes","No","Yes","No","No","","7"
"Yes","Yes","Fiber optic","Yes","Yes","No","Yes","No","Yes","No","2"
"Yes","Yes","Fiber optic","Yes","Yes","No","Yes","No","Yes","Yes","1"
"Yes","Yes","Fiber optic","Yes","Yes","No","Yes","No","Yes","","3"
"Yes","Yes","Fiber optic","Yes","Yes","No","Yes","No","","","10"
"Yes","Yes","Fiber optic","Yes","Yes","No","Yes","Yes","No","No","5"
"Yes","Yes","Fiber optic","Yes","Yes","No","Yes","Yes","No","Yes","1"
"Yes","Yes","Fiber optic","Yes","Yes","No","Yes","Yes","No","","6"
"Yes","Yes","Fiber optic","Yes","Yes","No","Yes","Yes","Yes","No","12"
"Yes","Yes","Fiber optic","Yes","Yes","No","Yes","Yes","Yes","Yes","4"
"Yes","Yes","Fiber optic","Yes","Yes","No","Yes","Yes","Yes","","16"
"Yes","Yes","Fiber optic","Yes","Yes","No","Yes","Yes","","","22"
"Yes","Yes","Fiber optic","Yes","Yes","No","Yes","","","","32"
"Yes","Yes","Fiber optic","Yes","Yes","No","","","","","98"
"Yes","Yes","Fiber optic","Yes","Yes","Yes","No","No","No","No","12"
"Yes","Yes","Fiber optic","Yes","Yes","Yes","No","No","No","Yes","3"
"Yes","Yes","Fiber optic","Yes","Yes","Yes","No","No","No","","15"
"Yes","Yes","Fiber optic","Yes","Yes","Yes","No","No","Yes","No","8"
"Yes","Yes","Fiber optic","Yes","Yes","Yes","No","No","Yes","Yes","1"
"Yes","Yes","Fiber optic","Yes","Yes","Yes","No","No","Yes","","9"
"Yes","Yes","Fiber optic","Yes","Yes","Yes","No","No","","","24"
"Yes","Yes","Fiber optic","Yes","Yes","Yes","No","Yes","No","No","8"
"Yes","Yes","Fiber optic","Yes","Yes","Yes","No","Yes","No","Yes","5"
"Yes","Yes","Fiber optic","Yes","Yes","Yes","No","Yes","No","","13"
"Yes","Yes","Fiber optic","Yes","Yes","Yes","No","Yes","Yes","No","40"
"Yes","Yes","Fiber optic","Yes","Yes","Yes","No","Yes","Yes","Yes","8"
"Yes","Yes","Fiber optic","Yes","Yes","Yes","No","Yes","Yes","","48"
"Yes","Yes","Fiber optic","Yes","Yes","Yes","No","Yes","","","61"
"Yes","Yes","Fiber optic","Yes","Yes","Yes","No","","","","85"
"Yes","Yes","Fiber optic","Yes","Yes","Yes","Yes","No","No","No","13"
"Yes","Yes","Fiber optic","Yes","Yes","Yes","Yes","No","No","Yes","1"
"Yes","Yes","Fiber optic","Yes","Yes","Yes","Yes","No","No","","14"
"Yes","Yes","Fiber optic","Yes","Yes","Yes","Yes","No","Yes","No","11"
"Yes","Yes","Fiber optic","Yes","Yes","Yes","Yes","No","Yes","","11"
"Yes","Yes","Fiber optic","Yes","Yes","Yes","Yes","No","","","25"
"Yes","Yes","Fiber optic","Yes","Yes","Yes","Yes","Yes","No","No","10"
"Yes","Yes","Fiber optic","Yes","Yes","Yes","Yes","Yes","No","Yes","1"
"Yes","Yes","Fiber optic","Yes","Yes","Yes","Yes","Yes","No","","11"
"Yes","Yes","Fiber optic","Yes","Yes","Yes","Yes","Yes","Yes","No","101"
